File name: g15_xrs_1m_20171101_20171130
Metadata Description:
dimensions:
record = UNLIMITED; //(43200 currently)
orbit = 30;

variables:
double time_tag_orbit(orbit);
time_tag_orbit:long_name = "Date and time for each west_longitude and inclination pair";
time_tag_orbit:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC";
time_tag_orbit:calendar = "gregorian";

float west_longitude(orbit);
west_longitude:description = "West longitude of satellite sub-orbit point at the given date and time.";
west_longitude:long_label = "West longitude";
west_longitude:short_label = "w long";
west_longitude:plot_label = "West longitude";
west_longitude:lin_log = "lin";
west_longitude:units = "degrees";
west_longitude:format = "F5.1";
west_longitude:nominal_min = " 70.0";
west_longitude:nominal_max = "140.0";
west_longitude:missing_value = "-99999";

float inclination(orbit);
inclination:description = "Inclination -- the angle between the plane of the orbit and the equatorial plane measured counter-clockwise from true East.";
inclination:long_label = "inclination";
inclination:short_label = "incl";
inclination:plot_label = "inclination";
inclination:lin_log = "lin";
inclination:units = "degrees";
inclination:format = "F6.3";
inclination:nominal_min = "0.0";
inclination:nominal_max = " 1.000";
inclination:missing_value = "-99999";

double time_tag(record) ;
time_tag:long_name = "Date and time for each observation" ;
time_tag:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC" ;
time_tag:calendar = "gregorian" ;

float A_QUAL_FLAG(record);
A_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
A_QUAL_FLAG:long_label = "quality flag";
A_QUAL_FLAG:short_label = "qf";
A_QUAL_FLAG:plot_label = " ";
A_QUAL_FLAG:lin_log = "lin";
A_QUAL_FLAG:units = "qf";
A_QUAL_FLAG:format = "I";
A_QUAL_FLAG:nominal_min = "0";
A_QUAL_FLAG:nominal_max = "4294967295";
A_QUAL_FLAG:missing_value = "99999";

float A_NUM_PTS(record);
A_NUM_PTS:description = "Data points per average.";
A_NUM_PTS:long_label = "points/average";
A_NUM_PTS:short_label = "pts";
A_NUM_PTS:plot_label = " ";
A_NUM_PTS:lin_log = "lin";
A_NUM_PTS:units = "points/avg";
A_NUM_PTS:format = "I3";
A_NUM_PTS:nominal_min = "  0";
A_NUM_PTS:nominal_max = " 30";
A_NUM_PTS:missing_value = "0";

float A_AVG(record);
A_AVG:description = "XRS short wavelength channel irradiance (0.05 - 0.4 nm)";
A_AVG:long_label = "x-ray (0.05-0.4 nm) irradiance";
A_AVG:short_label = "xs fx";
A_AVG:plot_label = "XS(0.05-0.4 nm)";
A_AVG:lin_log = "log";
A_AVG:units = "W/m^2";
A_AVG:format = "E10.4";
A_AVG:nominal_min = "1.0000E-09";
A_AVG:nominal_max = "1.0000E-03";
A_AVG:missing_value = "-99999";

float B_QUAL_FLAG(record);
B_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
B_QUAL_FLAG:long_label = "quality flag";
B_QUAL_FLAG:short_label = "qf";
B_QUAL_FLAG:plot_label = "qf";
B_QUAL_FLAG:lin_log = "lin";
B_QUAL_FLAG:units = "qf";
B_QUAL_FLAG:format = "I";
B_QUAL_FLAG:nominal_min = "0";
B_QUAL_FLAG:nominal_max = "4294967295";
B_QUAL_FLAG:missing_value = "99999";

float B_NUM_PTS(record);
B_NUM_PTS:description = "Data points per average.";
B_NUM_PTS:long_label = "points/average";
B_NUM_PTS:short_label = "pts";
B_NUM_PTS:plot_label = " ";
B_NUM_PTS:lin_log = "lin";
B_NUM_PTS:units = "points/avg";
B_NUM_PTS:format = "I3";
B_NUM_PTS:nominal_min = "  0";
B_NUM_PTS:nominal_max = " 30";
B_NUM_PTS:missing_value = "0";

float B_AVG(record);
B_AVG:description = "XRS long wavelength channel irradiance (0.1-0.8 nm)";
B_AVG:long_label = "x-ray (0.1-0.8 nm) irradiance";
B_AVG:short_label = "xl fx";
B_AVG:plot_label = "XL(0.1-0.8 nm)";
B_AVG:lin_log = "log";
B_AVG:units = "W/m^2";
B_AVG:format = "E10.4";
B_AVG:nominal_min = "1.0000E-09";
B_AVG:nominal_max = "1.0000E-03";
B_AVG:missing_value = "-99999";

// global attributes
:conventions = "GOES Space Weather"
:title = "GOES X-ray Sensor"
:institution = "NOAA"
:source = "Satellite Insitu Observations"
:satellite_id = "GOES-15"
:instrument = "X-ray Sensor"
:process-type = "unknown"
:process-level = "level 2"
:sample-time = "1"
:sample-unit = "minutes"
:creation_date = "2017-12-01 10:15:40.458 UTC"
:start_date = "2017-11-01 00:00:00.000 UTC"
:end_date = "2017-11-30 23:59:00.000 UTC"
:records_present = "43200"
:originating_agency = "DOC/NOAA/NCEP/NWS/SWPC"
:archiving_agency = "DOC/NOAA/NESDIS/NCEI"
:NOAA_scaling_factors = "The XRS data for GOES 8-15 include NOAA scaling factors which must be removed to get observed fluxes.  To remove these factors, divide the short channel fluxes (A_FLUX) by 0.85 and divide the long channel fluxes (B_FLUX) by 0.7." 

satellite location:
time_tag_orbit,west_longitude,inclination
2017-11-01 00:00:00,134.7, 0.254
2017-11-02 00:00:00,134.7, 0.254
2017-11-03 00:00:00,134.7, 0.254
2017-11-04 00:00:00,134.6, 0.253
2017-11-05 00:00:00,134.6, 0.252
2017-11-06 00:00:00,134.5, 0.250
2017-11-07 00:00:00,134.5, 0.248
2017-11-08 00:00:00,134.4, 0.244
2017-11-09 00:00:00,134.3, 0.239
2017-11-10 00:00:00,134.6, 0.234
2017-11-11 00:00:00,134.7, 0.231
2017-11-12 00:00:00,134.7, 0.229
2017-11-13 00:00:00,134.7, 0.227
2017-11-14 00:00:00,134.8, 0.226
2017-11-15 00:00:00,134.8, 0.225
2017-11-16 00:00:00,134.9, 0.224
2017-11-17 00:00:00,134.9, 0.222
2017-11-18 00:00:00,134.9, 0.220
2017-11-19 00:00:00,135.0, 0.219
2017-11-20 00:00:00,135.0, 0.216
2017-11-21 00:00:00,135.0, 0.213
2017-11-22 00:00:00,135.1, 0.210
2017-11-23 00:00:00,135.1, 0.207
2017-11-24 00:00:00,135.1, 0.204
2017-11-25 00:00:00,135.1, 0.201
2017-11-26 00:00:00,135.2, 0.199
2017-11-27 00:00:00,135.2, 0.197
2017-11-28 00:00:00,135.2, 0.196
2017-11-29 00:00:00,135.2, 0.195
2017-11-30 00:00:00,135.2, 0.194

data: 
time_tag,A_QUAL_FLAG,A_NUM_PTS,A_AVG,B_QUAL_FLAG,B_NUM_PTS,B_AVG
2017-11-01 00:00:00.000,0, 29,2.2430E-09,0, 29,6.4422E-08
2017-11-01 00:01:00.000,0, 30,3.2707E-09,0, 30,5.8422E-08
2017-11-01 00:02:00.000,0, 29,3.2161E-09,0, 29,5.8904E-08
2017-11-01 00:03:00.000,0, 29,3.2161E-09,0, 29,5.3658E-08
2017-11-01 00:04:00.000,0, 29,2.8110E-09,0, 29,5.1216E-08
2017-11-01 00:05:00.000,0, 30,3.3480E-09,0, 30,5.0115E-08
2017-11-01 00:06:00.000,0, 29,3.2929E-09,0, 29,5.4472E-08
2017-11-01 00:07:00.000,0, 29,3.3698E-09,0, 29,5.2120E-08
2017-11-01 00:08:00.000,0, 30,5.5398E-09,0, 30,5.4400E-08
2017-11-01 00:09:00.000,0, 29,3.8310E-09,0, 29,5.7547E-08
2017-11-01 00:10:00.000,0, 29,2.9471E-09,0, 29,5.5286E-08
2017-11-01 00:11:00.000,0, 30,2.8279E-09,0, 30,5.7110E-08
2017-11-01 00:12:00.000,0, 29,2.6012E-09,0, 29,5.8633E-08
2017-11-01 00:13:00.000,0, 29,2.5389E-09,0, 29,5.6462E-08
2017-11-01 00:14:00.000,0, 29,2.3499E-09,0, 29,5.7819E-08
2017-11-01 00:15:00.000,0, 30,3.5880E-09,0, 30,5.4837E-08
2017-11-01 00:16:00.000,0, 29,1.8057E-09,0, 29,5.3839E-08
2017-11-01 00:17:00.000,0, 29,1.5513E-09,0, 29,5.7276E-08
2017-11-01 00:18:00.000,0, 30,1.0803E-09,0, 30,5.1864E-08
2017-11-01 00:19:00.000,0, 29,1.3613E-09,0, 29,5.2030E-08
2017-11-01 00:20:00.000,0, 29,2.4267E-09,0, 29,5.3748E-08
2017-11-01 00:21:00.000,0, 29,2.6012E-09,0, 29,5.7276E-08
2017-11-01 00:22:00.000,0, 30,2.5107E-09,0, 30,5.5099E-08
2017-11-01 00:23:00.000,0, 29,2.4475E-09,0, 29,5.3567E-08
2017-11-01 00:24:00.000,0, 29,2.6781E-09,0, 29,5.3296E-08
2017-11-01 00:25:00.000,0, 30,4.7968E-09,0, 30,5.3000E-08
2017-11-01 00:26:00.000,0, 29,6.3289E-09,0, 29,5.4924E-08
2017-11-01 00:27:00.000,0, 29,3.7925E-09,0, 29,5.6914E-08
2017-11-01 00:28:00.000,0, 30,3.1251E-09,0, 30,5.4400E-08
2017-11-01 00:29:00.000,0, 29,2.4828E-09,0, 29,5.3477E-08
2017-11-01 00:30:00.000,0, 29,2.4444E-09,0, 29,5.5015E-08
2017-11-01 00:31:00.000,0, 29,2.7311E-09,0, 29,5.8995E-08
2017-11-01 00:32:00.000,0, 30,3.2366E-09,0, 30,5.7810E-08
2017-11-01 00:33:00.000,0, 29,2.5005E-09,0, 29,5.6462E-08
2017-11-01 00:34:00.000,0, 29,2.1869E-09,0, 29,5.3206E-08
2017-11-01 00:35:00.000,0, 30,2.7848E-09,0, 30,5.3525E-08
2017-11-01 00:36:00.000,0, 29,2.5389E-09,0, 29,5.3206E-08
2017-11-01 00:37:00.000,0, 29,1.6427E-09,0, 29,5.2572E-08
2017-11-01 00:38:00.000,0, 30,2.5107E-09,0, 30,5.7285E-08
2017-11-01 00:39:00.000,0, 29,2.0539E-09,0, 29,5.8904E-08
2017-11-01 00:40:00.000,0, 29,2.9087E-09,0, 29,5.4834E-08
2017-11-01 00:41:00.000,0, 29,2.9471E-09,0, 29,5.4110E-08
2017-11-01 00:42:00.000,0, 30,2.1132E-09,0, 30,5.8422E-08
2017-11-01 00:43:00.000,0, 29,2.3967E-09,0, 29,5.4110E-08
2017-11-01 00:44:00.000,0, 29,4.1768E-09,0, 29,5.4020E-08
2017-11-01 00:45:00.000,0, 30,2.9394E-09,0, 30,5.4487E-08
2017-11-01 00:46:00.000,0, 29,2.0362E-09,0, 29,5.1216E-08
2017-11-01 00:47:00.000,0, 29,1.5866E-09,0, 29,4.8683E-08
2017-11-01 00:48:00.000,0, 29,1.5097E-09,0, 29,4.9949E-08
2017-11-01 00:49:00.000,0, 30,1.8501E-09,0, 30,5.3875E-08
2017-11-01 00:50:00.000,0, 29,2.0778E-09,0, 29,5.7457E-08
2017-11-01 00:51:00.000,0, 29,2.0747E-09,0, 29,6.0352E-08
2017-11-01 00:52:00.000,0, 30,2.2336E-09,0, 30,5.7722E-08
2017-11-01 00:53:00.000,0, 29,1.8410E-09,0, 29,5.6643E-08
2017-11-01 00:54:00.000,0, 29,2.7165E-09,0, 29,5.7367E-08
2017-11-01 00:55:00.000,0, 30,1.7387E-09,0, 30,5.9209E-08
2017-11-01 00:56:00.000,0, 29,2.4060E-09,0, 29,5.4924E-08
2017-11-01 00:57:00.000,0, 29,2.2668E-09,0, 29,5.3748E-08
2017-11-01 00:58:00.000,0, 29,3.6949E-09,0, 29,5.6100E-08
2017-11-01 00:59:00.000,0, 30,4.4625E-09,0, 30,5.1951E-08
2017-11-01 01:00:00.000,0, 29,3.6772E-09,0, 29,5.3567E-08
