File name: g15_xrs_1m_20170901_20170930
Metadata Description:
dimensions:
record = UNLIMITED; //(43200 currently)
orbit = 30;

variables:
double time_tag_orbit(orbit);
time_tag_orbit:long_name = "Date and time for each west_longitude and inclination pair";
time_tag_orbit:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC";
time_tag_orbit:calendar = "gregorian";

float west_longitude(orbit);
west_longitude:description = "West longitude of satellite sub-orbit point at the given date and time.";
west_longitude:long_label = "West longitude";
west_longitude:short_label = "w long";
west_longitude:plot_label = "West longitude";
west_longitude:lin_log = "lin";
west_longitude:units = "degrees";
west_longitude:format = "F5.1";
west_longitude:nominal_min = " 70.0";
west_longitude:nominal_max = "140.0";
west_longitude:missing_value = "-99999";

float inclination(orbit);
inclination:description = "Inclination -- the angle between the plane of the orbit and the equatorial plane measured counter-clockwise from true East.";
inclination:long_label = "inclination";
inclination:short_label = "incl";
inclination:plot_label = "inclination";
inclination:lin_log = "lin";
inclination:units = "degrees";
inclination:format = "F6.3";
inclination:nominal_min = "0.0";
inclination:nominal_max = " 1.000";
inclination:missing_value = "-99999";

double time_tag(record) ;
time_tag:long_name = "Date and time for each observation" ;
time_tag:units = "Date and time in the format YYYY-mm-dd hh:mm:ss.SSS UTC" ;
time_tag:calendar = "gregorian" ;

float A_QUAL_FLAG(record);
A_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
A_QUAL_FLAG:long_label = "quality flag";
A_QUAL_FLAG:short_label = "qf";
A_QUAL_FLAG:plot_label = " ";
A_QUAL_FLAG:lin_log = "lin";
A_QUAL_FLAG:units = "qf";
A_QUAL_FLAG:format = "I";
A_QUAL_FLAG:nominal_min = "0";
A_QUAL_FLAG:nominal_max = "4294967295";
A_QUAL_FLAG:missing_value = "99999";

float A_NUM_PTS(record);
A_NUM_PTS:description = "Data points per average.";
A_NUM_PTS:long_label = "points/average";
A_NUM_PTS:short_label = "pts";
A_NUM_PTS:plot_label = " ";
A_NUM_PTS:lin_log = "lin";
A_NUM_PTS:units = "points/avg";
A_NUM_PTS:format = "I3";
A_NUM_PTS:nominal_min = "  0";
A_NUM_PTS:nominal_max = " 30";
A_NUM_PTS:missing_value = "0";

float A_AVG(record);
A_AVG:description = "XRS short wavelength channel irradiance (0.05 - 0.4 nm)";
A_AVG:long_label = "x-ray (0.05-0.4 nm) irradiance";
A_AVG:short_label = "xs fx";
A_AVG:plot_label = "XS(0.05-0.4 nm)";
A_AVG:lin_log = "log";
A_AVG:units = "W/m^2";
A_AVG:format = "E10.4";
A_AVG:nominal_min = "1.0000E-09";
A_AVG:nominal_max = "1.0000E-03";
A_AVG:missing_value = "-99999";

float B_QUAL_FLAG(record);
B_QUAL_FLAG:description = "Quality flag non-zero value indicates data quality issue.";
B_QUAL_FLAG:long_label = "quality flag";
B_QUAL_FLAG:short_label = "qf";
B_QUAL_FLAG:plot_label = "qf";
B_QUAL_FLAG:lin_log = "lin";
B_QUAL_FLAG:units = "qf";
B_QUAL_FLAG:format = "I";
B_QUAL_FLAG:nominal_min = "0";
B_QUAL_FLAG:nominal_max = "4294967295";
B_QUAL_FLAG:missing_value = "99999";

float B_NUM_PTS(record);
B_NUM_PTS:description = "Data points per average.";
B_NUM_PTS:long_label = "points/average";
B_NUM_PTS:short_label = "pts";
B_NUM_PTS:plot_label = " ";
B_NUM_PTS:lin_log = "lin";
B_NUM_PTS:units = "points/avg";
B_NUM_PTS:format = "I3";
B_NUM_PTS:nominal_min = "  0";
B_NUM_PTS:nominal_max = " 30";
B_NUM_PTS:missing_value = "0";

float B_AVG(record);
B_AVG:description = "XRS long wavelength channel irradiance (0.1-0.8 nm)";
B_AVG:long_label = "x-ray (0.1-0.8 nm) irradiance";
B_AVG:short_label = "xl fx";
B_AVG:plot_label = "XL(0.1-0.8 nm)";
B_AVG:lin_log = "log";
B_AVG:units = "W/m^2";
B_AVG:format = "E10.4";
B_AVG:nominal_min = "1.0000E-09";
B_AVG:nominal_max = "1.0000E-03";
B_AVG:missing_value = "-99999";

// global attributes
:conventions = "GOES Space Weather"
:title = "GOES X-ray Sensor"
:institution = "NOAA"
:source = "Satellite Insitu Observations"
:satellite_id = "GOES-15"
:instrument = "X-ray Sensor"
:process-type = "unknown"
:process-level = "level 2"
:sample-time = "1"
:sample-unit = "minutes"
:creation_date = "2017-10-01 10:16:19.825 UTC"
:start_date = "2017-09-01 00:00:00.000 UTC"
:end_date = "2017-09-30 23:59:00.000 UTC"
:records_present = "43200"
:originating_agency = "DOC/NOAA/NCEP/NWS/SWPC"
:archiving_agency = "DOC/NOAA/NESDIS/NCEI"
:NOAA_scaling_factors = "The XRS data for GOES 8-15 include NOAA scaling factors which must be removed to get observed fluxes.  To remove these factors, divide the short channel fluxes (A_FLUX) by 0.85 and divide the long channel fluxes (B_FLUX) by 0.7." 

satellite location:
time_tag_orbit,west_longitude,inclination
2017-09-01 00:00:00,135.0, 0.344
2017-09-02 00:00:00,135.0, 0.341
2017-09-03 00:00:00,135.0, 0.339
2017-09-04 00:00:00,135.0, 0.338
2017-09-05 00:00:00,135.0, 0.337
2017-09-06 00:00:00,134.9, 0.336
2017-09-07 00:00:00,134.9, 0.336
2017-09-08 00:00:00,134.9, 0.335
2017-09-09 00:00:00,135.0, 0.336
2017-09-10 00:00:00,135.1, 0.336
2017-09-11 00:00:00,135.1, 0.335
2017-09-12 00:00:00,135.1, 0.333
2017-09-13 00:00:00,135.1, 0.331
2017-09-14 00:00:00,135.2, 0.328
2017-09-15 00:00:00,135.2, 0.325
2017-09-16 00:00:00,135.2, 0.321
2017-09-17 00:00:00,135.2, 0.318
2017-09-18 00:00:00,135.2, 0.317
2017-09-19 00:00:00,135.3, 0.316
2017-09-20 00:00:00,135.3, 0.316
2017-09-21 00:00:00,135.3, 0.316
2017-09-22 00:00:00,135.3, 0.316
2017-09-23 00:00:00,135.3, 0.316
2017-09-24 00:00:00,135.3, 0.316
2017-09-25 00:00:00,135.4, 0.315
2017-09-26 00:00:00,135.4, 0.313
2017-09-27 00:00:00,135.4, 0.311
2017-09-28 00:00:00,135.4, 0.309
2017-09-29 00:00:00,135.4, 0.306
2017-09-30 00:00:00,135.4, 0.303

data: 
time_tag,A_QUAL_FLAG,A_NUM_PTS,A_AVG,B_QUAL_FLAG,B_NUM_PTS,B_AVG
2017-09-01 00:00:00.000,0, 30,2.2729E-09,0, 30,2.1223E-07
2017-09-01 00:01:00.000,0, 29,2.3675E-09,0, 29,2.1078E-07
2017-09-01 00:02:00.000,0, 29,3.8694E-09,0, 29,2.0572E-07
2017-09-01 00:03:00.000,0, 29,3.4082E-09,0, 29,2.0870E-07
2017-09-01 00:04:00.000,0, 30,3.9053E-09,0, 30,2.0121E-07
2017-09-01 00:05:00.000,0, 29,2.2876E-09,0, 29,2.0300E-07
2017-09-01 00:06:00.000,0, 29,3.4082E-09,0, 29,2.0743E-07
2017-09-01 00:07:00.000,0, 30,6.3942E-09,0, 30,2.4284E-07
2017-09-01 00:08:00.000,0, 29,7.6355E-09,0, 29,2.4678E-07
2017-09-01 00:09:00.000,0, 29,8.3272E-09,0, 29,2.3747E-07
2017-09-01 00:10:00.000,0, 29,5.2529E-09,0, 29,2.2616E-07
2017-09-01 00:11:00.000,0, 30,4.5739E-09,0, 30,2.1311E-07
2017-09-01 00:12:00.000,0, 29,3.8310E-09,0, 29,2.0427E-07
2017-09-01 00:13:00.000,0, 29,5.0991E-09,0, 29,2.0409E-07
2017-09-01 00:14:00.000,0, 30,6.6543E-09,0, 30,2.1529E-07
2017-09-01 00:15:00.000,0, 29,9.3264E-09,0, 29,2.2743E-07
2017-09-01 00:16:00.000,0, 29,1.0748E-08,0, 29,2.4362E-07
2017-09-01 00:17:00.000,0, 30,7.9173E-09,0, 30,2.4686E-07
2017-09-01 00:18:00.000,0, 29,7.5586E-09,0, 29,2.3249E-07
2017-09-01 00:19:00.000,0, 29,4.1384E-09,0, 29,2.2299E-07
2017-09-01 00:20:00.000,0, 29,5.2913E-09,0, 29,2.1160E-07
2017-09-01 00:21:00.000,0, 30,5.7998E-09,0, 30,1.9850E-07
2017-09-01 00:22:00.000,0, 29,6.9822E-09,0, 29,1.9178E-07
2017-09-01 00:23:00.000,0, 29,1.0633E-08,0, 29,1.8663E-07
2017-09-01 00:24:00.000,0, 30,1.1892E-08,0, 30,1.8478E-07
2017-09-01 00:25:00.000,0, 29,7.3665E-09,0, 29,1.9043E-07
2017-09-01 00:26:00.000,0, 29,6.5210E-09,0, 29,1.8898E-07
2017-09-01 00:27:00.000,0, 30,5.4655E-09,0, 30,1.8241E-07
2017-09-01 00:28:00.000,0, 29,5.9062E-09,0, 29,1.8699E-07
2017-09-01 00:29:00.000,0, 29,6.3673E-09,0, 29,1.9124E-07
2017-09-01 00:30:00.000,0, 29,6.2136E-09,0, 29,1.9432E-07
2017-09-01 00:31:00.000,0, 30,2.5278E-09,0, 30,1.8845E-07
2017-09-01 00:32:00.000,0, 29,2.9471E-09,0, 29,1.8573E-07
2017-09-01 00:33:00.000,0, 29,4.4074E-09,0, 29,1.8808E-07
2017-09-01 00:34:00.000,0, 30,6.0227E-09,0, 30,1.8740E-07
2017-09-01 00:35:00.000,0, 29,6.1367E-09,0, 29,1.8735E-07
2017-09-01 00:36:00.000,0, 29,4.2921E-09,0, 29,1.8455E-07
2017-09-01 00:37:00.000,0, 30,6.9143E-09,0, 30,1.8574E-07
2017-09-01 00:38:00.000,0, 29,7.2512E-09,0, 29,1.8681E-07
2017-09-01 00:39:00.000,0, 29,8.4425E-09,0, 29,1.9920E-07
2017-09-01 00:40:00.000,0, 29,9.5570E-09,0, 29,2.0816E-07
2017-09-01 00:41:00.000,0, 30,8.9203E-09,0, 30,2.0873E-07
2017-09-01 00:42:00.000,0, 29,7.4818E-09,0, 29,2.1196E-07
2017-09-01 00:43:00.000,0, 29,5.9830E-09,0, 29,2.0662E-07
2017-09-01 00:44:00.000,0, 30,6.4685E-09,0, 30,2.0454E-07
2017-09-01 00:45:00.000,0, 29,7.7124E-09,0, 29,1.9929E-07
2017-09-01 00:46:00.000,0, 29,7.5971E-09,0, 29,1.9586E-07
2017-09-01 00:47:00.000,0, 29,9.3648E-09,0, 29,1.9712E-07
2017-09-01 00:48:00.000,0, 30,7.2858E-09,0, 30,2.0191E-07
2017-09-01 00:49:00.000,0, 29,7.6355E-09,0, 29,1.9694E-07
2017-09-01 00:50:00.000,0, 29,5.8677E-09,0, 29,2.0155E-07
2017-09-01 00:51:00.000,0, 30,5.5398E-09,0, 30,2.0174E-07
2017-09-01 00:52:00.000,0, 29,6.5210E-09,0, 29,2.0771E-07
2017-09-01 00:53:00.000,0, 29,6.3673E-09,0, 29,2.1476E-07
2017-09-01 00:54:00.000,0, 30,6.9143E-09,0, 30,2.1835E-07
2017-09-01 00:55:00.000,0, 29,6.4826E-09,0, 29,2.2471E-07
2017-09-01 00:56:00.000,0, 29,7.2512E-09,0, 29,2.3747E-07
2017-09-01 00:57:00.000,0, 29,9.5185E-09,0, 29,2.4877E-07
2017-09-01 00:58:00.000,0, 30,1.0555E-08,0, 30,2.4791E-07
2017-09-01 00:59:00.000,0, 29,6.1367E-09,0, 29,2.5483E-07
2017-09-01 01:00:00.000,0, 29,4.9839E-09,0, 29,2.6008E-07
